,n_ap,first_ap_time,first_ap_amp,first_ap_width
327,1,7,43.5570823262784,15.599750776230756
328,1,6,49.672405231412924,17.381457182081313
329,1,6,57.0649131952325,104.61478553400897
330,3,7,40.188169111332094,7.3716896000860865
331,1,6,42.355552877158225,7.245831335345464
332,1,7,44.46944841542825,7.128947288646199
333,2,7,51.05790884206294,7.929601817107281
334,1,6,58.623536692401885,9.1899517752881
335,2,8,49.4630066776653,21.432312501015637
336,1,8,42.45149096789223,5.724271171859837
337,1,6,60.89199621773852,22.71359209962179
338,1,8,51.811090497104686,31.464512276572968
339,1,7,45.15392233836636,7.899130197651172
340,1,7,47.4361675330527,13.718753723611412
341,1,7,40.62597352984233,19.140860542683214
342,1,6,62.557314052018974,5.892345098189837
343,3,6,47.88826079395875,7.789189907673085
344,3,6,58.10981004517728,9.079405385479756
345,2,6,55.702776935573596,12.355292277712838
346,1,7,57.841274017327756,5.910627002632751
347,2,7,41.69271660307263,9.637208999485853
348,1,7,53.413007449575225,16.81527206694993
349,1,6,46.42526435110055,4.817383966050075
350,1,7,47.83292509769365,10.142862983487767
351,1,7,56.79918393110464,18.918653011412836
352,1,6,56.21845735515829,12.160098498482217
353,1,7,50.34218232912809,14.828750145115059
354,2,7,48.641085762507046,5.356226137672585
355,2,7,43.000866224948595,8.649870677028261
356,1,6,52.94088894574129,90.27832564320188
357,2,5,47.21586454131471,2.6879099524186074
358,1,6,53.620014809873894,15.179813796789707
359,1,6,55.37025579365334,12.024803737912013
360,1,8,42.0723698951428,14.99220595341934
361,1,7,58.45692084024619,7.324004053159144
362,1,6,46.74897638544565,4.723546584431372
363,1,8,38.6149075998993,14.400090124310157
364,2,6,45.57284414398525,2.5781919491843173
365,1,6,50.98353647099224,24.32910447732845
366,1,6,45.94214944392458,6.365840458298097
367,1,9,37.66760031583128,18.569550236048208
368,4,5,53.48932800365048,7.920473151987277
369,2,9,46.00501570806071,4.10299207691202
370,1,7,42.116931439711216,21.851168363360735
371,1,8,46.61366897263375,104.64284736461985
372,2,6,55.057667424444745,11.237781280053213
373,1,7,52.395123985548594,3.8868820959205292
374,1,6,58.94800019712764,9.00998969758449
375,1,8,44.7506775891082,42.41058954142809
376,1,6,59.64777304354994,20.847630409625367
377,2,7,43.85574228168301,2.3916641537887555
378,1,7,45.00669043442957,12.40326025027846
379,1,8,41.15884640070527,173.32311849829932
380,1,8,44.34104637381115,8.092167353268604
381,1,6,56.30372652786818,20.386399253648904
382,1,6,57.38087847830439,7.919827806122908
383,1,7,58.733938913293116,14.004656099373577
384,1,7,42.72107586947149,11.137521088027801
385,1,6,50.15391038715783,7.980419739021275
386,1,8,40.167003749916574,47.17755738545803
